station_id,station_name,station_type,geography,hall_count,active,latitude,longitude,source_orgunit_id
21,H01 Svínoy,FRESHWATER,Faroe Islands,1,True,0.000000,0.000000,
31,H125 Glyvrar,FRESHWATER,Faroe Islands,1,True,0.000000,0.000000,
1,L01 Við Áir,BROODSTOCK,Faroe Islands,9,True,62.174227,-6.975546,
19,L02 Skopun,BROODSTOCK,Faroe Islands,5,True,61.905893,-6.882039,
6,S03 Norðtoftir,FRESHWATER,Faroe Islands,7,True,62.000000,-7.000000,CA104300-CC2E-462B-9DCB-4A894E6C3070
25,S04 Húsar,FRESHWATER,Faroe Islands,3,True,62.000000,-7.000000,
12,S08 Gjógv,FRESHWATER,Faroe Islands,5,True,62.333333,-7.000000,44BEBD9D-7840-49B3-AC93-319CED2C8982
23,S10 Svínoy,FRESHWATER,Faroe Islands,1,True,62.066667,-7.000000,
10,S16 Glyvradalur,FRESHWATER,Faroe Islands,10,True,-62.000000,-7.000000,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
11,S21 Viðareiði,FRESHWATER,Faroe Islands,12,True,62.000000,-4.000000,9AC96263-D89B-45C9-946A-E031E7CA2E28
8,S24 Strond,FRESHWATER,Faroe Islands,10,True,-62.271337,-6.592612,2D865994-E13B-49A7-AE38-C8FBB99134BF
4,BRS1 Langass,BROODSTOCK,Scotland,7,True,57.568611,-7.299722,
3,BRS2 Langass,BROODSTOCK,Scotland,6,True,0.000000,0.000000,
20,BRS3 Geocrab,BROODSTOCK,Scotland,3,True,0.000000,0.000000,
26,Buckieburn Smolt Unit,FRESHWATER,Scotland,1,True,56.066667,-4.000000,
29,Dunblane Loch,FRESHWATER,Scotland,1,True,56.300000,-3.150000,
17,FW11 Barvas,FRESHWATER,Scotland,1,True,58.351111,-6.584444,
9,FW12 Amhuinnsuidhe,FRESHWATER,Scotland,1,True,57.973056,-6.987778,
2,FW13 Geocrab,FRESHWATER,Scotland,5,True,57.818056,-6.874722,
24,FW14 Harris Lochs,FRESHWATER,Scotland,2,True,57.791944,-6.968611,
15,FW21 Couldoran,FRESHWATER,Scotland,8,True,57.436554,-5.599186,
5,FW22 Applecross,FRESHWATER,Scotland,10,True,57.404722,-5.639167,
13,FW22 Russel Burn,FRESHWATER,Scotland,1,True,57.404722,-5.639167,
27,FW23 Loch Damph South,FRESHWATER,Scotland,1,True,57.470851,-5.571871,
18,FW24 KinlochMoidart,FRESHWATER,Scotland,5,True,56.781944,-5.727500,
16,HO Hatchery,FRESHWATER,Scotland,1,True,56.100000,-3.150000,
22,HSU,FRESHWATER,Scotland,1,True,56.100000,-3.150000,
14,Langass old to summer 15,FRESHWATER,Scotland,1,True,57.568611,-7.299722,
28,Loch Geirean,FRESHWATER,Scotland,1,True,57.599722,-7.181667,
30,Loch Tormasad,FRESHWATER,Scotland,1,True,57.564167,-7.308611,
7,Tullich,FRESHWATER,Scotland,1,True,57.418333,-5.466111,
